respondent_id,timestamp,username,question_num,score,score_text,weighted_score
1,7/6/2025 1:32:58,User1,1,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,2,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,3,2,2: あまり本人らしくない,1.25
1,7/6/2025 1:32:58,User1,4,1,1: 全く本人らしくない,1.25
1,7/6/2025 1:32:58,User1,5,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,6,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,7,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,8,1,1: 全く本人らしくない,1.25
1,7/6/2025 1:32:58,User1,9,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,10,2,2: あまり本人らしくない,1.25
1,7/6/2025 1:32:58,User1,11,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,12,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,13,5,5: かなり本人らしい,1.25
1,7/6/2025 1:32:58,User1,14,2,2: あまり本人らしくない,1.25
1,7/6/2025 1:32:58,User1,15,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,16,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,17,1,1: 全く本人らしくない,1.25
1,7/6/2025 1:32:58,User1,18,5,5: かなり本人らしい,1.25
1,7/6/2025 1:32:58,User1,19,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,20,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,21,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,22,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,23,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,24,4,4: やや本人らしい,1.25
1,7/6/2025 1:32:58,User1,25,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,26,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,27,3,3: 本人らしさは出ていない,1.25
1,7/6/2025 1:32:58,User1,28,1,1: 全く本人らしくない,1.25
