respondent_id,timestamp,username,question_num,score,score_text,weighted_score
1,7/6/2025 10:17:41,User1,1,2,2: あまり本人らしくない,1.07
1,7/6/2025 10:17:41,User1,2,3,3: 本人らしさは出ていない,1.07
1,7/6/2025 10:17:41,User1,3,1,1: 全く本人らしくない,1.07
1,7/6/2025 10:17:41,User1,4,1,1: 全く本人らしくない,1.07
1,7/6/2025 10:17:41,User1,5,3,3: 本人らしさは出ていない,1.07
1,7/6/2025 10:17:41,User1,6,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,7,1,1: 全く本人らしくない,1.07
1,7/6/2025 10:17:41,User1,8,2,2: あまり本人らしくない,1.07
1,7/6/2025 10:17:41,User1,9,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,10,1,1: 全く本人らしくない,1.07
1,7/6/2025 10:17:41,User1,11,3,3: 本人らしさは出ていない,1.07
1,7/6/2025 10:17:41,User1,12,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,13,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,14,3,3: 本人らしさは出ていない,1.07
1,7/6/2025 10:17:41,User1,15,5,5: かなり本人らしい,1.07
1,7/6/2025 10:17:41,User1,16,3,3: 本人らしさは出ていない,1.07
1,7/6/2025 10:17:41,User1,17,2,2: あまり本人らしくない,1.07
1,7/6/2025 10:17:41,User1,18,5,5: かなり本人らしい,1.07
1,7/6/2025 10:17:41,User1,19,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,20,2,2: あまり本人らしくない,1.07
1,7/6/2025 10:17:41,User1,21,5,5: かなり本人らしい,1.07
1,7/6/2025 10:17:41,User1,22,5,5: かなり本人らしい,1.07
1,7/6/2025 10:17:41,User1,23,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,24,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,25,2,2: あまり本人らしくない,1.07
1,7/6/2025 10:17:41,User1,26,4,4: やや本人らしい,1.07
1,7/6/2025 10:17:41,User1,27,3,3: 本人らしさは出ていない,1.07
1,7/6/2025 10:17:41,User1,28,2,2: あまり本人らしくない,1.07
1,7/6/2025 10:17:41,User1,29,1,1: 全く本人らしくない,1.07
1,7/6/2025 10:17:41,User1,30,5,5: かなり本人らしい,1.07
2,7/8/2025 3:29:31,User2,1,2,2: あまり本人らしくない,0.56
2,7/8/2025 3:29:31,User2,2,4,4: やや本人らしい,0.56
2,7/8/2025 3:29:31,User2,3,3,3: 本人らしさは出ていない,0.56
