respondent_id,timestamp,username,question_num,score,score_text,weighted_score
1,7/5/2025 0:38:17,User1,1,2,2: あまり本人らしくない,1.17
1,7/5/2025 0:38:17,User1,2,2,2: あまり本人らしくない,1.17
1,7/5/2025 0:38:17,User1,3,3,3: 本人らしさは出ていない,1.17
1,7/5/2025 0:38:17,User1,4,3,3: 本人らしさは出ていない,1.17
1,7/5/2025 0:38:17,User1,5,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,6,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,7,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,8,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,9,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,10,5,5: かなり本人らしい,1.17
1,7/5/2025 0:38:17,User1,11,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,12,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,13,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,14,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,15,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,16,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,17,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,18,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,19,3,3: 本人らしさは出ていない,1.17
1,7/5/2025 0:38:17,User1,20,5,5: かなり本人らしい,1.17
1,7/5/2025 0:38:17,User1,21,2,2: あまり本人らしくない,1.17
1,7/5/2025 0:38:17,User1,22,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,23,5,5: かなり本人らしい,1.17
1,7/5/2025 0:38:17,User1,24,5,5: かなり本人らしい,1.17
1,7/5/2025 0:38:17,User1,25,3,3: 本人らしさは出ていない,1.17
1,7/5/2025 0:38:17,User1,26,5,5: かなり本人らしい,1.17
1,7/5/2025 0:38:17,User1,27,3,3: 本人らしさは出ていない,1.17
1,7/5/2025 0:38:17,User1,28,1,1: 全く本人らしくない,1.17
1,7/5/2025 0:38:17,User1,29,4,4: やや本人らしい,1.17
1,7/5/2025 0:38:17,User1,30,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,1,2,2: あまり本人らしくない,1.17
2,7/5/2025 1:05:45,User2,2,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,3,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,4,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,5,1,1: 全く本人らしくない,1.17
2,7/5/2025 1:05:45,User2,6,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,7,2,2: あまり本人らしくない,1.17
2,7/5/2025 1:05:45,User2,8,1,1: 全く本人らしくない,1.17
2,7/5/2025 1:05:45,User2,9,3,3: 本人らしさは出ていない,1.17
2,7/5/2025 1:05:45,User2,10,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,11,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,12,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,13,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,14,1,1: 全く本人らしくない,1.17
2,7/5/2025 1:05:45,User2,15,1,1: 全く本人らしくない,1.17
2,7/5/2025 1:05:45,User2,16,1,1: 全く本人らしくない,1.17
2,7/5/2025 1:05:45,User2,17,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,18,3,3: 本人らしさは出ていない,1.17
2,7/5/2025 1:05:45,User2,19,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,20,3,3: 本人らしさは出ていない,1.17
2,7/5/2025 1:05:45,User2,21,3,3: 本人らしさは出ていない,1.17
2,7/5/2025 1:05:45,User2,22,1,1: 全く本人らしくない,1.17
2,7/5/2025 1:05:45,User2,23,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,24,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,25,3,3: 本人らしさは出ていない,1.17
2,7/5/2025 1:05:45,User2,26,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,27,4,4: やや本人らしい,1.17
2,7/5/2025 1:05:45,User2,28,3,3: 本人らしさは出ていない,1.17
2,7/5/2025 1:05:45,User2,29,5,5: かなり本人らしい,1.17
2,7/5/2025 1:05:45,User2,30,4,4: やや本人らしい,1.17
3,7/5/2025 1:14:20,User3,1,3,3: 本人らしさは出ていない,0.54
3,7/5/2025 1:14:20,User3,2,3,3: 本人らしさは出ていない,0.54
3,7/5/2025 1:14:20,User3,3,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,4,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,5,2,2: あまり本人らしくない,0.54
3,7/5/2025 1:14:20,User3,6,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,7,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,8,1,1: 全く本人らしくない,0.54
3,7/5/2025 1:14:20,User3,9,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,10,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,11,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,12,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,13,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,14,1,1: 全く本人らしくない,0.54
3,7/5/2025 1:14:20,User3,15,1,1: 全く本人らしくない,0.54
3,7/5/2025 1:14:20,User3,16,1,1: 全く本人らしくない,0.54
3,7/5/2025 1:14:20,User3,17,3,3: 本人らしさは出ていない,0.54
3,7/5/2025 1:14:20,User3,18,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,19,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,20,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,21,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,22,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,23,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,24,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,25,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,26,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,27,5,5: かなり本人らしい,0.54
3,7/5/2025 1:14:20,User3,28,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,29,4,4: やや本人らしい,0.54
3,7/5/2025 1:14:20,User3,30,4,4: やや本人らしい,0.54
4,7/5/2025 1:21:24,User4,1,3,3: 本人らしさは出ていない,1.28
4,7/5/2025 1:21:24,User4,2,4,4: やや本人らしい,1.28
4,7/5/2025 1:21:24,User4,3,4,4: やや本人らしい,1.28
4,7/5/2025 1:21:24,User4,4,4,4: やや本人らしい,1.28
4,7/5/2025 1:21:24,User4,5,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,6,4,4: やや本人らしい,1.28
4,7/5/2025 1:21:24,User4,7,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,8,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,9,3,3: 本人らしさは出ていない,1.28
4,7/5/2025 1:21:24,User4,10,2,2: あまり本人らしくない,1.28
4,7/5/2025 1:21:24,User4,11,2,2: あまり本人らしくない,1.28
4,7/5/2025 1:21:24,User4,12,4,4: やや本人らしい,1.28
4,7/5/2025 1:21:24,User4,13,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,14,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,15,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,16,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,17,2,2: あまり本人らしくない,1.28
4,7/5/2025 1:21:24,User4,18,3,3: 本人らしさは出ていない,1.28
4,7/5/2025 1:21:24,User4,19,3,3: 本人らしさは出ていない,1.28
4,7/5/2025 1:21:24,User4,20,3,3: 本人らしさは出ていない,1.28
4,7/5/2025 1:21:24,User4,21,2,2: あまり本人らしくない,1.28
4,7/5/2025 1:21:24,User4,22,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,23,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,24,2,2: あまり本人らしくない,1.28
4,7/5/2025 1:21:24,User4,25,1,1: 全く本人らしくない,1.28
4,7/5/2025 1:21:24,User4,26,1,1: 全く本人らしくない,1.28
